S.no,tweetid,tweettext
38,1045008075248136192,"RT @karinavold: While there are good reasons for pursuing ethical machines, including the ethical alignment of humans and machines, there a…"
39,1045007318759297025,.@EmmanuelMacron Thank you for joining Melinda and me at #Goalkeepers18 and for inspiring the crowd with your messa… https://t.co/MWAIouS6qW
40,1045007254703943680,#AsiaCup2018 OUT!!! Pakistan have lost half their side with the departure of Shadab Khan for 4. That was a real pai… https://t.co/HdacqzBhyQ
41,1045007129659097088,"IISc Bengaluru tops India in global list of best institutes
https://t.co/xll7JM9R0o https://t.co/72S7aYUoSR"
42,1045006346058420225,"KDnuggets™ News 18:n36, Sep 26: Machine Learning Algorithms From Scratch; Deep Learning Framework Popularity; Data… https://t.co/4T5eLms1jP"
43,1045006336315064320,"Aadhaar for welfare schemes a ‘legitimate exercise’, says Supreme Court
https://t.co/NJs0h0VZIM
(@ziahaq,… https://t.co/N57z2snqBJ"
44,1045005646632906753,RT @michaelrzhang: This is very cool! @hollygrimm is kind to share the syllabus and blog posts throughout the program: https://t.co/PDvqUpM…
45,1045005634675126272,Fruit-bearing plants tailor the colour of their ripe fruit to the wavelengths that the local animals can see… https://t.co/ZksdZ9klbI
46,1045005470543556611,Tensorflow Deep Learning Solutions for Images https://t.co/W8wXsnB0Aj  #machinelearning #ad
47,1045005469201440768,Applied AI with DeepLearning https://t.co/Xg008tH4Wi  #machinelearning #ad
48,1045005457134374913,"RT @ipfconline1: 12 Ubiquitous Artificial Intelligence Powered Apps That Are Changing Lives

https://t.co/Zmep2pjib2 v/ @PacktPub 
#AI #Dig…"
49,1045005436431290368,RT @odsc: You don’t need thousands of dollars to get starting investing in AI - you’d be surprised what you can do with $50. See what tools…
50,1045005425194618880,RT @MSFTissues: AI for Humanitarian Action and our work with the @UN help ensure the benefits of a digital economy have a positive global i…
51,1045005423298990080,RT @odsc: Cool NLP project - you can use LDA to extract  newspaper topics in just minutes! Follow along to see how and get some of the code…
52,1045005413807267842,"RT @Ronald_vanLoon: Introducing #Python Fire, a library for automatically generating command line interfaces
 by @bieber @googopen @GoogleB…"
53,1045005189432987648,Your career begins here! #Cisco networking &amp; cloud computing certification bundle https://t.co/cRZPHvRXoK
54,1045005083040043008,"RT @WomenTechmakers: Check out our new series, where @WomenTechmakers bring you tips and tricks fit for veteran and aspiring devs alike.

F…"
55,1045005072957038592,RT @iglpzfr: Impressed by the quality and creativity of the projects presented today at @OpenAI Scholars Demo Day. Very compelling applicat…
56,1045004589785743360,[D] The need for an open source un/trained models platform? https://t.co/H16uFon9lS
57,1045004535024869376,"RT @baxterkb: @Dreamforce Day 2! Join me, @RichardSocher, @BMarcusMcCann, @Yingbo2, and Vena Like at 5p for the Research Keynote!! #df18, #…"
58,1045004442498674688,OnePlus 6T 3D renders show off its design https://t.co/Nm0V9DHFzK https://t.co/uVVCfIywG1
59,1045004258440105985,"RT @SjoukjeZaal: Thanks @shanselman, it was great hanging out with you. Again thanks for writing the foreword for my #Azure Architecture bo…"
60,1045004079527809029,Join our Advanced Partner @XebiaLabs for an afternoon of #DevOps in Chicago. They’ll provide tips &amp; tricks on relea… https://t.co/6M8Bn27ZIi
61,1045003946107039745,RT @j2bryson: @AWChristoph @alan_winfield @johnchavens @GaryMarcus @tonyjprescott @NadiaAbouayoub @EvanSelinger @BrettFrischmann ht @BrettF…
62,1045003823998259205,"""Kindof"" Big Data in R https://t.co/mzCGW3YEdZ"
63,1045003475556360192,"RT @JoannaLAshby: ML Projects from start to finish, critical info for those working at the intersection of #healthcare and #machinelearning…"
64,1045003446657503232,"RT @AndrewYNg: Just finished writing final few chapters of Machine Learning Yearning book draft, on how to organize and strategize your ML…"
65,1045002134335324160,#AsiaCup2018 OUT!!! What a catch!! Malik goes for 30 and Pakistan are four down! Mashrafe throws himself to his lef… https://t.co/LBa1v63sGl
66,1045001995390799874,#DataOps and DevOps for #DataScience -- Why Analytics Ops Is Key To Value: https://t.co/fbMZY8tRA6 #BigData… https://t.co/qEO3Hla3n3
67,1045001434725412864,Variational Collaborative Learning for User Probabilistic Representation. https://t.co/ZGAX7xVP7Y https://t.co/3N9YGwXmpL
68,1045001389133377536,"Have you checked out these cool new features in Bing yet? 

https://t.co/S7xuxe7EbN"
69,1045001058307604480,Interested in getting your Master’s in Accounting? Join our webinar to learn more about University of Illinois… https://t.co/YilavDhD1L
70,1045000833316925441,"RT for the fluff, Like for the posing skills! #DogsofAWS https://t.co/Q29WHuuRKl"
71,1045000547416256512,"Data is secure, some information not private: Supreme Court
https://t.co/IkpkKFZeFp
@PySamarth reports https://t.co/dzwmNhGAf3"
72,1045000423659249664,Deep Learning Prerequisites: Logistic Regression in Python https://t.co/HBTx07A8y4  #machinelearning #elearning #ad
73,1045000420408659968,Mathematics for Machine Learning: PCA https://t.co/ujyfKxbkQi  #machinelearning #ad
74,1045000402398334976,RT @MikeQuindazzi: #AI-fueled #chatbot scams #phishing email scammers! &gt;&gt; @MikeQuindazzi &gt;&gt; #cybersecurity #cyberattacks #malware #ransomwa…
75,1045000377786134528,"RT @AnalyticsVidhya: #Python or #R? Now we've a concrete answer! The below graph, from Artificial Intelligence, Machine Learning &amp; Big Data…"
76,1045000366457331712,"RT @Ronald_vanLoon: The 4 Types of #DataAnalytics 
 by @PrincipaD @kdnuggets | 

Read more at: https://t.co/yUfIyr8yib

#MachineLearning #M…"
77,1045000351781289984,What sessions are you heading to at Day 1 of #GHC18? Here are some on our agenda: https://t.co/U710FbtZ4W
78,1044999799399960579,Guess who's excited to keep building on their modern application? Start your backend with a containerized microserv… https://t.co/9BtQgkO0zF
79,1044999680915050496,"Harvest Moon: Light of Hope ported to Android, still no microtransactions https://t.co/4cf2HN8XB6"
80,1044999552158380034,Why Momentum Really Works https://t.co/LmZNjhjsuF https://t.co/F5btZfhw1W
81,1044999424148148224,What is the First Ever IoT Law Really Asking For? The Experts Weigh In https://t.co/6bZqT8wNcD #AI #IoT #BigData
82,1044999142668468225,"Principles of Database Management: The Practical Guide to Storing, Managing and Analyzing Big and Small Data… https://t.co/zd0AWbYe4I"
83,1044998785946906626,"Aadhaar not needed for Neet, UGC, CBSE and school admissions
https://t.co/Fp7Xxp6CGQ https://t.co/MVBoQGzIdD"
84,1044998663494295552,"Want more @tiffani?
We’ve got you covered.

Hear more of her story at @githubuniverse! Get your tickets.… https://t.co/c6mBbXXQEZ"
85,1044998589292916737,"The future of AI needs your help in making ethical, informed decisions.  Every industry will be impacted. Are you s… https://t.co/MVkH3DnqMt"
86,1044998503355830273,i'm on the beach why am i doing this to myself
87,1044998418274422784,"""the oculus quest, all the problems of the original oculus, without the wires"""
88,1044998078963404800,"RT @HTSportsNews: Caroline Wozniacki, Angelique Kerber stunned at Wuhan Open

https://t.co/EelG9QMa3W

#WuhanOpen"
89,1044998035233812480,Join us this week for our tech talk on the use of GPUs for high performance computing (HPC) applications. Our AWS e… https://t.co/E1OA7QTMFW
90,1044998032096460800,RT @Astro_Alex: As if somebody pulled the planet's gigantic plug. Staring down the eye of yet another fierce storm. Category 5 Super Typhoo…
91,1044997990493163520,"o

k https://t.co/JoQVeh2gQa"
92,1044997852836110338,"How do you make a wise decision when comparing #machinelearning platforms? Check out @BobViolino's tips and tricks,… https://t.co/Pa1U0Cpkam"
93,1044997805725667328,Stupid Qubit – #QuantumComputing for the Clueless/001 https://t.co/Gop6rxwho3 https://t.co/0Op5m6tvet
94,1044997410684985344,"This would be cool, but I can barely find any matches in ranked
¯\_(ツ)_/¯"
95,1044996273156177920,Wondering what our analytics have to offer? Join us for a live demo— on your schedule! Sign up here: https://t.co/KMrpmVF62M
96,1044996255905189889,The latest The KDnuggets Observer! https://t.co/ifzGeN2rot #kdn #machinelearning
97,1044996191371571201,Scientists develop mechanism for storing information on a single atom: https://t.co/ey7PIg0ZUd (v/@Radboud_Uni… https://t.co/uIc1uljk6z
98,1044996032935776256,Bay Area Firms Make It Hard For Cambridge To Hire AI Staff https://t.co/YGIefDP7sq
99,1044995990753669120,Standard Deviation https://t.co/eZ2bbpDzwV https://t.co/G6ArWPiwKm
